"","age_group","life_expectancy","disc_le"
"1","15-20",47,25.024707834086
"2","20-25",42,23.7013591989881
"3","25-30",37,22.1672354350587
"4","30-35",32,20.3887655287678
"5","35-40",27,18.3270314744821
"6","40-45",22,15.9369166372472
"7","45-50",17,13.166118471841
"8","50-55",12,9.95400399356756
"9","55-60",7,6.23028295522154
"10","60-65",2,1.91346969554152
