,income_group,vsl,w_le,vsly,gni ,coi_1,coi_2,coi_3
1,HIC,9622023,22.75,422874.92,55135,701.46,1402.92,2104.39
2,UMIC,2560406,23.41,109382.01,19614,183.39,366.78,550.17
3,LMIC,880426,24.17,36421.71,7829,43.58,87.16,130.74
4,LIC,59999,24.92,2407.25,2027,13.62,27.23,40.85
