"","target_pop","income_group","R0","Rt1","Rt1a","Rt1b","Rt2","timing1","timing1a","timing1b","ifr_scaling","coverage","efficacy_infection_v1","efficacy_disease_v1","efficacy_infection_v2","efficacy_disease_v2","vaccination_rate","duration_R","duration_V","dur_vacc_delay","seeding_cases","vaccine_1_start","vaccine_2_start","lower_priority","lower_vaccine","two_vaccines","runtime","timing2","contact_reduction","contact_reduction_cf","timing2_cf","X","vsl","w_le","vsly","gni","coi_1","coi_2","coi_3","infections","hospitalisations","deaths","yll","yll_prod","ifr","infections_cf","hospitalisations_cf","deaths_cf","yll_cf","yll_prod_cf","ifr_cf","infections_averted","hospitalisations_averted","cost_of_illness_averted","deaths_averted","deaths_averted_prop","years_life_saved","years_prod_saved","vsl_sum","prod_loss","importation_time_label","vaccine_start_label"
"11",1e+06,"UMIC",2.5,1,2.5,1.1,2.5,1,80,110,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,1,1,30,130,14,4,1,500,62,37.2,84,140,2,2560406,23.41,109382.01,19614,183.39,366.78,550.17,727602.42,8176.1,890.39,9105.24,1654.53,0.00122373149885895,788498.55,16926.95,3004.28,24404.31,1846.41,0.00381012748850331,60896.13,8750.85,65631.375,2113.89,0.703626160011717,15299.07,191.88,1673443027.7307,3763534.32,"80 days","Sarbecovirus vaccine"
"12",1e+06,"UMIC",2.5,1,2.5,1.1,2.5,1,80,110,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,1,1,500,130,14,4,0,500,162,97.2,84,140,2,2560406,23.41,109382.01,19614,183.39,366.78,550.17,628155.51,9415.52,1636.21,13376.09,1051.04,0.00260478492021824,788498.55,16926.95,3004.28,24404.31,1846.41,0.00381012748850331,160343.04,7511.43,56335.725,1368.07,0.455373666901887,11028.22,795.37,1206288870.3222,15600387.18,"80 days","SARS-3 vaccine"
"13",1e+06,"LMIC",2.5,1,2.5,1.1,2.5,1,20,50,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,1,1,30,130,14,4,1,500,43,25.8,48,80,3,880426,24.17,36421.71,7829,43.58,87.16,130.74,864026.75,7483.47,647.36,6777.73,1628.93,0.000749236062425151,879873.59,11229.7,1466.07,12503.78,1660.12,0.00166622798622698,15846.84,3746.23,28096.725,818.71,0.558438546590545,5726.05,31.1899999999998,208552532.5455,244186.509999999,"20 days","Sarbecovirus vaccine"
"14",1e+06,"LMIC",2.5,1,2.5,1.1,2.5,1,20,50,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,1,1,500,130,14,4,0,500,143,85.8,48,80,3,880426,24.17,36421.71,7829,43.58,87.16,130.74,779935.65,8017.43,1038.37,8874.77,1152.48,0.00133135342640127,879881.62,11229.79,1466.08,12503.88,1660.14,0.00166622414501624,99945.97,3212.36,24092.7,427.71,0.291737149405217,3629.11,507.66,132178391.9781,3974470.14,"20 days","SARS-3 vaccine"
"15",1e+06,"LMIC",2.5,1,2.5,1.1,2.5,1,50,80,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,1,1,30,130,14,4,1,500,43,25.8,66,110,3,880426,24.17,36421.71,7829,43.58,87.16,130.74,856718.58,7140.26,585.9,6316.38,1601.39,0.000683888517977514,879871.41,11229.68,1466.06,12503.76,1660.12,0.00166622074923425,23152.8300000001,4089.42,30670.65,880.16,0.600357420569417,6187.38,58.7299999999998,225354960.0198,459797.169999998,"50 days","Sarbecovirus vaccine"
"16",1e+06,"LMIC",2.5,1,2.5,1.1,2.5,1,50,80,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,1,1,500,130,14,4,0,500,143,85.8,66,110,3,880426,24.17,36421.71,7829,43.58,87.16,130.74,775560.37,7884.53,1020.65,8724.44,1131.96,0.00131601618581929,879872.64,11229.69,1466.06,12503.77,1660.12,0.00166621841997496,104312.27,3345.16,25088.7,445.41,0.303814305007981,3779.33,528.16,137649661.2543,4134964.64,"50 days","SARS-3 vaccine"
"17",1e+06,"LMIC",2.5,1,2.5,1.1,2.5,1,80,110,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,1,1,30,130,14,4,1,500,43,25.8,84,140,3,880426,24.17,36421.71,7829,43.58,87.16,130.74,815140.56,6235.38,508.84,5496.42,1385.95,0.000624235898652865,879870.98,11229.67,1466.06,12503.75,1660.12,0.00166622156352969,64730.4199999999,4994.29,37457.175,957.22,0.652920071484114,7007.33,274.17,255218941.1343,2146476.93,"80 days","Sarbecovirus vaccine"
"18",1e+06,"LMIC",2.5,1,2.5,1.1,2.5,1,80,110,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,1,1,500,130,14,4,0,500,143,85.8,84,140,3,880426,24.17,36421.71,7829,43.58,87.16,130.74,769329.87,7704.42,996.64,8520.79,1104.13,0.00129546510393519,879879.83,11229.77,1466.07,12503.86,1660.13,0.00166621616954215,110549.96,3525.35,26440.125,469.43,0.320196170714904,3983.07,556,145070220.4497,4352924,"80 days","SARS-3 vaccine"
"19",1e+06,"LIC",2.5,1,2.5,1.1,2.5,1,20,50,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,1,1,30,130,14,4,1,500,37,22.2,48,80,4,59999,24.92,2407.25,2027,13.62,27.23,40.85,844387.94,5077.31,367.68,4104.37,1146.33,0.000435439662958711,853486.33,7124.98,781.58,6986.05,1156.93,0.000915749874986281,9098.39000000001,2047.67,15357.525,413.9,0.52956831034571,2881.68,10.6000000000001,6936924.18,21486.2000000003,"20 days","Sarbecovirus vaccine"
"20",1e+06,"LIC",2.5,1,2.5,1.1,2.5,1,20,50,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,1,1,500,130,14,4,0,500,137,82.2,48,80,4,59999,24.92,2407.25,2027,13.62,27.23,40.85,757614.51,5036.48,544.78,4891.13,788.29,0.000719072817124371,853475.48,7124.91,781.57,6986,1156.91,0.000915749799865369,95860.97,2088.43,15663.225,236.79,0.302967104673926,2094.87,368.62,5042875.8075,747192.74,"20 days","SARS-3 vaccine"
"21",1e+06,"LIC",2.5,1,2.5,1.1,2.5,1,50,80,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,1,1,30,130,14,4,1,500,37,22.2,66,110,4,59999,24.92,2407.25,2027,13.62,27.23,40.85,836442.07,4838.77,333.59,3833.25,1117.49,0.000398820207596684,853498,7125.04,781.58,6986.12,1156.94,0.000915737353807508,17055.9300000001,2286.27,17147.025,447.99,0.573185086619412,3152.87,39.45,7589746.3075,79965.1500000001,"50 days","Sarbecovirus vaccine"
"22",1e+06,"LIC",2.5,1,2.5,1.1,2.5,1,50,80,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,1,1,500,130,14,4,0,500,137,82.2,66,110,4,59999,24.92,2407.25,2027,13.62,27.23,40.85,754551.67,4970.96,537.28,4825.02,777.02,0.000712051965904469,853465.38,7124.85,781.56,6985.94,1156.9,0.000915748920008917,98913.71,2153.89,16154.175,244.28,0.312554378422642,2160.92,379.88,5201874.67,770016.76,"50 days","SARS-3 vaccine"
"23",1e+06,"LIC",2.5,1,2.5,1.1,2.5,1,80,110,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,1,1,30,130,14,4,1,500,37,22.2,84,140,4,59999,24.92,2407.25,2027,13.62,27.23,40.85,787784.13,4100.08,283.87,3246.03,924.49,0.00036033983065894,853485.03,7124.97,781.58,6986.05,1156.93,0.000915751269826021,65700.9,3024.89,22686.675,497.71,0.636799815757824,3740.02,232.44,9003163.145,471155.88,"80 days","Sarbecovirus vaccine"
"24",1e+06,"LIC",2.5,1,2.5,1.1,2.5,1,80,110,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,1,1,500,130,14,4,0,500,137,82.2,84,140,4,59999,24.92,2407.25,2027,13.62,27.23,40.85,746958.82,4820.88,520.16,4673.83,751.18,0.000696370383577504,853485.03,7124.97,781.58,6986.05,1156.93,0.000915751269826021,106526.21,2304.09,17280.675,261.42,0.334476317203613,2312.22,405.75,5566091.595,822455.25,"80 days","SARS-3 vaccine"
