"","target_pop","income_group","R0","Rt1","Rt1a","Rt1b","Rt2","timing1","timing1a","timing1b","ifr_scaling","coverage","efficacy_infection_v1","efficacy_disease_v1","efficacy_infection_v2","efficacy_disease_v2","vaccination_rate","duration_R","duration_V","dur_vacc_delay","seeding_cases","vaccine_1_start","vaccine_2_start","lower_priority","lower_vaccine","two_vaccines","runtime","timing2","contact_reduction","contact_reduction_cf","timing2_cf","X","vsl","w_le","vsly","gni","coi_1","coi_2","coi_3","infections","hospitalisations","deaths","yll","yll_prod","ifr","infections_cf","hospitalisations_cf","deaths_cf","yll_cf","yll_prod_cf","ifr_cf","infections_averted","hospitalisations_averted","cost_of_illness_averted","deaths_averted","deaths_averted_prop","years_life_saved","years_prod_saved","vsl_sum","prod_loss","importation_time_label","vaccine_start_label"
"1",1e+06,"HIC",2.5,1,2.5,1.1,2.5,1,20,50,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,1,1,30,130,14,4,1,500,81,48.6,48,80,1,9622023,22.75,422874.92,55135,701.46,1402.92,2104.39,760603.49,13174.93,1525.59,17900.27,2470.25,0.00200576255573058,809595.88,25380.93,4574.71,44662.28,2563.51,0.00565060928916783,48992.39,12206,91545,3049.12,0.666516566077412,26762.01,93.2600000000002,11316982837.7892,5141890.10000001,"20 days","Sarbecovirus vaccine"
"2",1e+06,"HIC",2.5,1,2.5,1.1,2.5,1,20,50,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,1,1,500,130,14,4,0,500,181,108.6,48,80,1,9622023,22.75,422874.92,55135,701.46,1402.92,2104.39,620674.34,13103.92,2244.98,22317.66,1435.94,0.00361700146972404,809595.59,25380.91,4574.7,44662.24,2563.51,0.00565059896139009,188921.25,12276.99,92077.425,2329.72,0.509261809517564,22344.58,1127.57,9448962479.9336,62168571.95,"20 days","SARS-3 vaccine"
"3",1e+06,"HIC",2.5,1,2.5,1.1,2.5,1,50,80,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,1,1,30,130,14,4,1,500,81,48.6,66,110,1,9622023,22.75,422874.92,55135,701.46,1402.92,2104.39,760584.89,13166.25,1523.1,17879.22,2470.66,0.00200253781007929,809655.84,25383.83,4575.3,44667.84,2563.72,0.00565091953143943,49070.95,12217.58,91631.85,3052.2,0.667103796472363,26788.62,93.0599999999999,11328235539.4104,5130863.1,"50 days","Sarbecovirus vaccine"
"4",1e+06,"HIC",2.5,1,2.5,1.1,2.5,1,50,80,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,1,1,500,130,14,4,0,500,181,108.6,66,110,1,9622023,22.75,422874.92,55135,701.46,1402.92,2104.39,615221.81,12802.04,2190.19,21783.53,1405.35,0.00356000057930326,809597.98,25381.03,4574.73,44662.47,2563.52,0.00565061933578441,194376.17,12578.99,94342.425,2384.54,0.52124169076645,22878.94,1158.17,9674929922.1848,63855702.95,"50 days","SARS-3 vaccine"
"5",1e+06,"HIC",2.5,1,2.5,1.1,2.5,1,80,110,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,1,1,30,130,14,4,1,500,81,48.6,84,140,1,9622023,22.75,422874.92,55135,701.46,1402.92,2104.39,748407.82,12407.08,1352.46,16329.99,2443.73,0.00180711633932419,809596.08,25380.93,4574.71,44662.29,2563.51,0.00565060789325956,61188.26,12973.85,97303.875,3222.25,0.704361587947651,28332.3,119.78,11981019095.916,6604070.30000001,"80 days","Sarbecovirus vaccine"
"6",1e+06,"HIC",2.5,1,2.5,1.1,2.5,1,80,110,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,1,1,500,130,14,4,0,500,181,108.6,84,140,1,9622023,22.75,422874.92,55135,701.46,1402.92,2104.39,607980.88,12425.85,2121.73,21116.83,1367.52,0.00348979724493968,809611.89,25381.7,4574.86,44663.76,2563.57,0.00565068282285232,201631.01,12955.85,97168.875,2453.13,0.536219687596997,23546.93,1196.05,9957406139.9956,65944216.75,"80 days","SARS-3 vaccine"
"7",1e+06,"UMIC",2.5,1,2.5,1.1,2.5,1,20,50,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,1,1,30,130,14,4,1,500,62,37.2,48,80,2,2560406,23.41,109382.01,19614,183.39,366.78,550.17,756175.4,9350.27,1102.16,10820.82,1779.71,0.00145754543191963,788503.07,16927.08,3004.3,24404.52,1846.42,0.00381013101191857,32327.6699999999,7576.81,56826.075,1902.14,0.633139167193689,13583.7,66.71,1485812409.237,1308449.94,"20 days","Sarbecovirus vaccine"
"8",1e+06,"UMIC",2.5,1,2.5,1.1,2.5,1,20,50,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,1,1,500,130,14,4,0,500,162,97.2,48,80,2,2560406,23.41,109382.01,19614,183.39,366.78,550.17,638052.84,9821.4,1709.17,13967.19,1095.43,0.00267872798748141,788507.56,16927.22,3004.33,24404.73,1846.43,0.00381014736244254,150454.72,7105.82,53293.65,1295.16,0.431097782201023,10437.54,751,1141679104.6554,14730114,"20 days","SARS-3 vaccine"
"9",1e+06,"UMIC",2.5,1,2.5,1.1,2.5,1,50,80,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,1,1,30,130,14,4,1,500,62,37.2,66,110,2,2560406,23.41,109382.01,19614,183.39,366.78,550.17,751413.89,9041.34,1028.85,10286.54,1771.27,0.00136921876703663,788498.91,16926.95,3004.28,24404.33,1846.41,0.00381012574893731,37085.02,7885.61,59142.075,1975.43,0.657538578294966,14117.79,75.1400000000001,1544232246.9579,1473795.96,"50 days","Sarbecovirus vaccine"
"10",1e+06,"UMIC",2.5,1,2.5,1.1,2.5,1,50,80,1,0.8,0.35,0.8,0.55,0.9,0.02,1825,1825,1,1,500,130,14,4,0,500,162,97.2,66,110,2,2560406,23.41,109382.01,19614,183.39,366.78,550.17,636640.5,9759.14,1698.01,13876.62,1088.58,0.00266714103171256,788459.75,16925.76,3004.05,24402.52,1846.3,0.00381002327639426,151819.25,7166.62,53749.65,1306.04,0.434759741016295,10525.9,757.72,1151344099.059,14861920.08,"50 days","SARS-3 vaccine"
